Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
16-MAY-2025,55276,55418.9,55170.25,55354.9,136045212,7512.92
15-MAY-2025,54853.7,55490.55,54442.3,55355.6,138421253,10195.93
14-MAY-2025,55008.55,55208.6,54491,54801.3,145169571,6288.89
13-MAY-2025,55233.5,55499.65,54888.5,54940.85,190035885,9256.83
12-MAY-2025,54658.75,55466.3,54558.05,55382.85,199594158,8894.5
09-MAY-2025,53595.95,54054.8,53483.05,53595.25,179290315,8109.92
08-MAY-2025,54801.75,54937.25,54108,54365.65,302197374,12890.73
07-MAY-2025,54013.4,54684.3,53919.9,54610.9,268883957,9325.72
06-MAY-2025,54918.25,55036.95,54172.95,54271.4,198690472,8440.53
05-MAY-2025,55065.8,55345.5,54786.5,54919.5,139409242,8876.74
02-MAY-2025,55100.95,55691.95,54994.4,55115.35,154187346,8648.95
30-APR-2025,55382.4,55478.25,54723.7,55087.15,193527310,11916.11
29-APR-2025,55524.35,55957.75,55262.4,55391.25,193903416,8373.38
28-APR-2025,54610.3,55577.4,54582.35,55432.8,178630188,7103.46
25-APR-2025,55233.55,55350.55,54176.45,54664.05,210766304,9679.83
24-APR-2025,55103.9,55550.45,55088.4,55201.4,233218409,12002.95
23-APR-2025,56097.1,56098.7,55162.5,55370.05,245520423,11723.19
22-APR-2025,55414.3,55961.2,55243.55,55647.2,276879053,15645.82
21-APR-2025,54891.25,55461.65,54674.95,55304.5,267372839,13622.84
17-APR-2025,53153.75,54407.2,53084.9,54290.2,294946433,13719.04
16-APR-2025,52690.9,53164.45,52471.35,53117.75,200504101,10526.17
15-APR-2025,52299,52486.35,51863.3,52379.5,203761353,11819.68
11-APR-2025,50634.1,51244.7,50634.1,51002.35,139974934,8735.46
09-APR-2025,50487.1,50496.9,49910.85,50240.15,141787861,7324.09
08-APR-2025,50388.55,50793.7,50030.8,50511,162259279,9082.76
07-APR-2025,49336.1,50426.25,49156.95,49860.1,236789593,11587.08
04-APR-2025,51711.6,51893.6,51360.4,51502.7,189607641,8445.89
03-APR-2025,50910,51661.6,50906.65,51597.35,291159558,5960.55
02-APR-2025,50966.9,51404.2,50908.35,51348.05,149906457,5545.35
01-APR-2025,51178.15,51683.85,50742,50827.5,176322972,8505.05
28-MAR-2025,51608.4,51839.1,51335.35,51564.85,171152969,7586.83
27-MAR-2025,51084.7,51714.35,51050.85,51575.85,415772852,15234.89
26-MAR-2025,51640.05,51875.8,51069.15,51209,152895952,8525.79
25-MAR-2025,51874.2,52063.95,51429.6,51607.95,185197665,12224.07
24-MAR-2025,50982.7,51801.15,50795.9,51704.95,180444979,8885.39
21-MAR-2025,49927.1,50672.15,49891.95,50593.55,225498916,18532.21
20-MAR-2025,49947.6,50155.3,49771.65,50062.85,115743962,5905.18
19-MAR-2025,49375.4,49807.55,49324.8,49702.6,137635415,6785.05
18-MAR-2025,48792.9,49400.3,48629.45,49314.5,146550294,8229.85
17-MAR-2025,48219.55,48481.35,48196.1,48354.15,131272921,6980.6
13-MAR-2025,48219.15,48352.45,48006.1,48060.4,145864976,7179.86
12-MAR-2025,47894.4,48222.15,47844.95,48056.65,243281505,13858.73
11-MAR-2025,47874.8,48029.05,47702.9,47853.95,222380296,12487.44
10-MAR-2025,48312,48599.15,48124.65,48216.8,123771352,6129.4
07-MAR-2025,48463.8,48709.05,48359.35,48497.5,106040439,5259.86
06-MAR-2025,48760,48839.1,48299.4,48627.7,137393647,8118.72
05-MAR-2025,48241.3,48657.65,48190.25,48489.95,127803810,6244.51
04-MAR-2025,47942.5,48374.9,47924.75,48245.2,139300167,6415.75
03-MAR-2025,48478.6,48574.7,47841.3,48114.3,151025906,6405.82
28-FEB-2025,48437.55,48574.5,48078.7,48344.7,287716653,18190.01
27-FEB-2025,48732.2,48972.55,48627.1,48743.8,186728631,9357.41
25-FEB-2025,48691.2,48862.15,48534.15,48608.35,106651228,6429.81
24-FEB-2025,48619.8,48748.4,48281.9,48651.95,95748720,5512.2
21-FEB-2025,49127.95,49306.55,48764,48981.2,95345014,5055.3
20-FEB-2025,49314.1,49455.8,49150.95,49334.55,111960237,6208.97
19-FEB-2025,48895.35,49628.25,48804,49570.1,113250369,5739.81
18-FEB-2025,49211.85,49328.55,48814.95,49087.3,107781259,5531.66
17-FEB-2025,48880.4,49319,48525.6,49258.9,114805488,5147.25
14-FEB-2025,49485.65,49592.95,48719.75,49099.45,130641404,6228.74
13-FEB-2025,49469.35,49836.1,49276.1,49359.85,118606192,7310.63
12-FEB-2025,49402.25,49702.35,48734.35,49479.45,136468017,6944.33
11-FEB-2025,49812.15,49906.75,49177.4,49403.4,127015655,6260.18
10-FEB-2025,50052.5,50155.65,49703.1,49981,98420678,5412.83
07-FEB-2025,50484.45,50641.75,49871.15,50158.85,178726541,9150.02
06-FEB-2025,50468.35,50553.35,50149.8,50382.1,158402021,8485.81
05-FEB-2025,50402.3,50522.15,50215.45,50343.05,148953623,7176.17
04-FEB-2025,49538.8,50206.6,49482.5,50157.95,155659931,9984.88
03-FEB-2025,49074.8,49373.45,48906.05,49210.55,122888691,5789.59
01-FEB-2025,49592.55,50009.5,48925.45,49506.95,118009351,3955.85
31-JAN-2025,49259.65,49674.8,49031.8,49587.2,232021331,7728.28
30-JAN-2025,49206.2,49426.2,49031.8,49311.95,197906088,8567.72
29-JAN-2025,48997.2,49199.65,48849.8,49165.95,177169221,5952.79
28-JAN-2025,48642.5,49247.15,48449.05,48866.85,299944475,12208.48
27-JAN-2025,47881.65,48319.2,47844.15,48064.65,271808231,8969.36
24-JAN-2025,48546.05,48858.65,48203,48367.8,139948431,7505.19
23-JAN-2025,48770.15,48892.7,48493,48589,124573638,8807.77
22-JAN-2025,48689.55,48781.75,48074.05,48724.4,151683951,8347.43
21-JAN-2025,49532,49543.15,48430.95,48570.9,134686328,9193.77
20-JAN-2025,48834.15,49650.6,48683.6,49350.8,173115109,10519.88
17-JAN-2025,48959.5,49047.2,48309.5,48540.6,130598508,8620.64
16-JAN-2025,49082.9,49459,49038.45,49278.7,146732136,7742.3
15-JAN-2025,48832.75,49083.65,48522.4,48751.7,145112403,5702.11
14-JAN-2025,48266.9,49007.35,48235.2,48729.15,151923269,7745.76
13-JAN-2025,48264.25,48606.35,47898.35,48041.25,168780899,7299.58
10-JAN-2025,49426.5,49483.15,48631.2,48734.15,142386637,6354.11
09-JAN-2025,49712.55,49798.1,49230.15,49503.5,136379631,8842.81
08-JAN-2025,50201.75,50246.9,49389.75,49835.05,131178850,6950.22
07-JAN-2025,50061.2,50447.6,49969.3,50202.15,103825140,5397.67
06-JAN-2025,50990.65,51026.1,49751,49922,184590426,7006.9
03-JAN-2025,51567.15,51671.6,50904.35,50988.8,148238026,8040.74
02-JAN-2025,51084.95,51672.75,50992.8,51605.55,134402813,6772.81
